Output Power vs Torque Angle
Torque Angle +39 (elec. degrees)
Power (W)
2.12824	0.000000
3	820.543707
6	3630.257830
9	6416.359864
12	9169.498669
15	11880.592749
18	14540.888403
21	17141.983642
24	19675.874627
27	22134.972899
30	24512.146175
33	26834.496342
36	29074.018520
39	31221.504113
42	33271.275085
45	35218.025509
48	37056.834853
51	38783.175972
54	40392.914714
57	41882.314412
60	43248.036932
63	44487.139413
66	45597.072179
69	46575.673274
72	47421.175045
75	48132.179930
78	48707.665947
81	49146.976784
84	49449.814766
87	49616.232275
90	49646.623297
93	49541.714718
96	49302.556653
99	48930.513588
102	48427.255359
105	47794.746665
108	47035.238142
111	46151.256146
114	45145.593566
117	44021.299717
120	42781.670710
123	41430.239826
126	39970.767621
129	38407.232468
132	36743.821029
135	34984.918300
138	33135.097692
141	31199.112947
144	29181.888977
147	27088.503509
150	24924.191792
153	22694.329156
156	20404.420866
159	18060.094609
162	15667.090496
165	13231.250372
168	10758.508813
171	8254.882822
174	5726.463246
177	3179.402878
180	619.907402
Output Power
